Compute Levels,CDF_aggregated
21.71234247,0.00E+00
21.72034407,0.00E+00
21.72834567,0.00E+00
21.73634727,0.00E+00
21.74434887,0.00E+00
21.75235047,0.00E+00
21.76035207,0.00E+00
21.76835367,0.00E+00
21.77635527,0.00E+00
21.78435687,0.00E+00
21.79235847,0.00E+00
21.80036007,0.00E+00
21.80836167,0.00E+00
21.81636327,0.00E+00
21.82436487,0.00E+00
21.83236647,0.00E+00
21.84036807,0.00E+00
21.84836967,0.00E+00
21.85637127,0.00E+00
21.86437287,0.00E+00
21.87237447,0.00E+00
21.88037608,0.00E+00
21.88837768,0.00E+00
21.89637928,0.00E+00
21.90438088,0.00E+00
21.91238248,0.00E+00
21.92038408,0.00E+00
21.92838568,0.00E+00
21.93638728,0.00E+00
21.94438888,0.00E+00
21.95239048,0.00E+00
21.96039208,0.00E+00
21.96839368,0.00E+00
21.97639528,0.00E+00
21.98439688,0.00E+00
21.99239848,0.00E+00
22.00040008,0.00E+00
22.00840168,0.00E+00
22.01640328,0.00E+00
22.02440488,0.00E+00
22.03240648,0.00E+00
22.04040808,0.00E+00
22.04840968,0.00E+00
22.05641128,0.00E+00
22.06441288,0.00E+00
22.07241448,0.00E+00
22.08041608,0.00E+00
22.08841768,0.00E+00
22.09641928,0.00E+00
22.10442088,0.00E+00
22.11242248,0.00E+00
22.12042408,0.00E+00
22.12842569,0.00E+00
22.13642729,0.00E+00
22.14442889,0.00E+00
22.15243049,0.00E+00
22.16043209,0.00E+00
22.16843369,0.00E+00
22.17643529,0.00E+00
22.18443689,0.00E+00
22.19243849,0.00E+00
22.20044009,0.00E+00
22.20844169,0.00E+00
22.21644329,0.00E+00
22.22444489,0.00E+00
22.23244649,0.00E+00
22.24044809,0.00E+00
22.24844969,0.00E+00
22.25645129,0.00E+00
22.26445289,0.00E+00
22.27245449,0.00E+00
22.28045609,0.00E+00
22.28845769,0.00E+00
22.29645929,0.00E+00
22.30446089,0.00E+00
22.31246249,0.00E+00
22.32046409,0.00E+00
22.32846569,0.00E+00
22.33646729,0.00E+00
22.34446889,0.00E+00
22.35247049,0.00E+00
22.36047209,0.00E+00
22.36847369,0.00E+00
22.3764753,0.00E+00
22.3844769,0.00E+00
22.3924785,0.00E+00
22.4004801,0.00E+00
22.4084817,0.00E+00
22.4164833,0.00E+00
22.4244849,0.00E+00
22.4324865,0.00E+00
22.4404881,0.00E+00
22.4484897,0.00E+00
22.4564913,0.00E+00
22.4644929,0.00E+00
22.4724945,0.00E+00
22.4804961,0.00E+00
22.4884977,0.00E+00
22.4964993,0.00E+00
22.5045009,0.00E+00
22.5125025,0.00E+00
22.5205041,0.00E+00
22.5285057,0.00E+00
22.5365073,0.00E+00
22.5445089,0.00E+00
22.5525105,0.00E+00
22.5605121,0.00E+00
22.5685137,0.00E+00
22.5765153,0.00E+00
22.5845169,0.00E+00
22.5925185,0.00E+00
22.6005201,0.00E+00
22.6085217,0.00E+00
22.6165233,0.00E+00
22.6245249,0.00E+00
22.63252651,0.00E+00
22.64052811,0.00E+00
22.64852971,0.00E+00
22.65653131,0.00E+00
22.66453291,0.00E+00
22.67253451,0.00E+00
22.68053611,0.00E+00
22.68853771,0.00E+00
22.69653931,0.00E+00
22.70454091,0.00E+00
22.71254251,0.00E+00
22.72054411,0.00E+00
22.72854571,0.00E+00
22.73654731,0.00E+00
22.74454891,0.00E+00
22.75255051,0.00E+00
22.76055211,0.00E+00
22.76855371,0.00E+00
22.77655531,0.00E+00
22.78455691,0.00E+00
22.79255851,0.00E+00
22.80056011,0.00E+00
22.80856171,0.00E+00
22.81656331,0.00E+00
22.82456491,0.00E+00
22.83256651,0.00E+00
22.84056811,0.00E+00
22.84856971,0.00E+00
22.85657131,0.00E+00
22.86457291,0.00E+00
22.87257451,0.00E+00
22.88057612,0.00E+00
22.88857772,0.00E+00
22.89657932,0.00E+00
22.90458092,0.00E+00
22.91258252,0.00E+00
22.92058412,0.00E+00
22.92858572,0.00E+00
22.93658732,0.00E+00
22.94458892,0.00E+00
22.95259052,0.00E+00
22.96059212,0.00E+00
22.96859372,0.00E+00
22.97659532,0.00E+00
22.98459692,0.00E+00
22.99259852,0.00E+00
23.00060012,0.00E+00
23.00860172,0.00E+00
23.01660332,0.00E+00
23.02460492,1.00E-07
23.03260652,1.00E-06
23.04060812,1.20E-06
23.04860972,1.90E-06
23.05661132,2.40E-06
23.06461292,2.80E-06
23.07261452,3.70E-06
23.08061612,4.10E-06
23.08861772,5.50E-06
23.09661932,7.40E-06
23.10462092,8.70E-06
23.11262252,1.21E-05
23.12062412,1.32E-05
23.12862573,1.53E-05
23.13662733,1.79E-05
23.14462893,2.24E-05
23.15263053,2.42E-05
23.16063213,2.66E-05
23.16863373,2.78E-05
23.17663533,3.01E-05
23.18463693,3.38E-05
23.19263853,3.63E-05
23.20064013,4.00E-05
23.20864173,4.54E-05
23.21664333,4.93E-05
23.22464493,5.18E-05
23.23264653,5.52E-05
23.24064813,5.71E-05
23.24864973,6.27E-05
23.25665133,6.49E-05
23.26465293,6.70E-05
23.27265453,7.02E-05
23.28065613,7.57E-05
23.28865773,7.94E-05
23.29665933,8.15E-05
23.30466093,8.32E-05
23.31266253,8.59E-05
23.32066413,9.07E-05
23.32866573,9.28E-05
23.33666733,9.78E-05
23.34466893,1.02E-04
23.35267053,1.08E-04
23.36067213,1.14E-04
23.36867373,1.17E-04
23.37667534,1.28E-04
23.38467694,1.32E-04
23.39267854,1.38E-04
23.40068014,1.42E-04
23.40868174,1.47E-04
23.41668334,1.54E-04
23.42468494,1.62E-04
23.43268654,1.69E-04
23.44068814,1.77E-04
23.44868974,1.88E-04
23.45669134,1.93E-04
23.46469294,2.05E-04
23.47269454,2.15E-04
23.48069614,2.22E-04
23.48869774,2.33E-04
23.49669934,2.42E-04
23.50470094,2.52E-04
23.51270254,2.60E-04
23.52070414,2.67E-04
23.52870574,2.74E-04
23.53670734,2.82E-04
23.54470894,2.94E-04
23.55271054,3.06E-04
23.56071214,3.14E-04
23.56871374,3.27E-04
23.57671534,3.34E-04
23.58471694,3.42E-04
23.59271854,3.52E-04
23.60072014,3.63E-04
23.60872174,3.72E-04
23.61672334,3.87E-04
23.62472494,3.97E-04
23.63272655,4.05E-04
23.64072815,4.11E-04
23.64872975,4.18E-04
23.65673135,4.31E-04
23.66473295,4.42E-04
23.67273455,4.51E-04
23.68073615,4.61E-04
23.68873775,4.74E-04
23.69673935,4.83E-04
23.70474095,4.92E-04
23.71274255,5.03E-04
23.72074415,5.14E-04
23.72874575,5.24E-04
23.73674735,5.37E-04
23.74474895,5.57E-04
23.75275055,5.73E-04
23.76075215,5.85E-04
23.76875375,5.94E-04
23.77675535,6.13E-04
23.78475695,6.30E-04
23.79275855,6.46E-04
23.80076015,6.64E-04
23.80876175,6.75E-04
23.81676335,6.88E-04
23.82476495,7.09E-04
23.83276655,7.25E-04
23.84076815,7.43E-04
23.84876975,7.55E-04
23.85677135,7.71E-04
23.86477295,7.89E-04
23.87277455,8.02E-04
23.88077616,8.24E-04
23.88877776,8.46E-04
23.89677936,8.62E-04
23.90478096,8.81E-04
23.91278256,8.94E-04
23.92078416,9.12E-04
23.92878576,9.30E-04
23.93678736,9.46E-04
23.94478896,9.65E-04
23.95279056,9.82E-04
23.96079216,9.99E-04
23.96879376,1.02E-03
23.97679536,1.04E-03
23.98479696,1.05E-03
23.99279856,1.07E-03
24.00080016,1.09E-03
24.00880176,1.11E-03
24.01680336,1.13E-03
24.02480496,1.16E-03
24.03280656,1.18E-03
24.04080816,1.20E-03
24.04880976,1.22E-03
24.05681136,1.25E-03
24.06481296,1.27E-03
24.07281456,1.30E-03
24.08081616,1.32E-03
24.08881776,1.35E-03
24.09681936,1.37E-03
24.10482096,1.39E-03
24.11282256,1.42E-03
24.12082416,1.44E-03
24.12882577,1.46E-03
24.13682737,1.48E-03
24.14482897,1.51E-03
24.15283057,1.54E-03
24.16083217,1.57E-03
24.16883377,1.60E-03
24.17683537,1.63E-03
24.18483697,1.65E-03
24.19283857,1.67E-03
24.20084017,1.70E-03
24.20884177,1.74E-03
24.21684337,1.77E-03
24.22484497,1.80E-03
24.23284657,1.82E-03
24.24084817,1.85E-03
24.24884977,1.87E-03
24.25685137,1.90E-03
24.26485297,1.93E-03
24.27285457,1.96E-03
24.28085617,1.99E-03
24.28885777,2.02E-03
24.29685937,2.05E-03
24.30486097,2.07E-03
24.31286257,2.09E-03
24.32086417,2.12E-03
24.32886577,2.15E-03
24.33686737,2.19E-03
24.34486897,2.22E-03
24.35287057,2.25E-03
24.36087217,2.29E-03
24.36887377,2.32E-03
24.37687538,2.36E-03
24.38487698,2.40E-03
24.39287858,2.43E-03
24.40088018,2.47E-03
24.40888178,2.51E-03
24.41688338,2.54E-03
24.42488498,2.58E-03
24.43288658,2.61E-03
24.44088818,2.65E-03
24.44888978,2.69E-03
24.45689138,2.73E-03
24.46489298,2.77E-03
24.47289458,2.80E-03
24.48089618,2.83E-03
24.48889778,2.87E-03
24.49689938,2.90E-03
24.50490098,2.94E-03
24.51290258,2.98E-03
24.52090418,3.02E-03
24.52890578,3.05E-03
24.53690738,3.09E-03
24.54490898,3.13E-03
24.55291058,3.17E-03
24.56091218,3.21E-03
24.56891378,3.25E-03
24.57691538,3.29E-03
24.58491698,3.33E-03
